Q2,x,W,g1,dg1(stat),dg1(sys),dg1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot)
0.0496,0.1437,1.085,,,,,,,,,-4.0897,3.2359,6.7112,7.4506
0.0496,0.1352,1.095,,,,,,,,,0.8676,2.3378,0.366,2.3663
0.0496,0.1275,1.105,,,,,,,,,0.0935,1.7699,0.3179,1.7982
0.0496,0.1207,1.115,,,,,,,,,1.0428,1.4214,0.3998,1.4766
0.0496,0.1144,1.125,,,,,,,,,0.0396,1.042,0.2135,1.0636
0.0496,0.1087,1.135,,,,,,,,,-1.9087,0.8828,0.7649,1.1681
0.0496,0.1036,1.145,,,,,,,,,1.1177,0.7273,0.2379,0.7652
0.0496,0.0988,1.155,,,,,,,,,-0.0296,0.6177,0.1041,0.6264
0.0496,0.0945,1.165,,,,,,,,,-0.8282,0.5177,0.1428,0.537
0.0496,0.0904,1.175,,,,,,,,,-0.2237,0.4405,0.0586,0.4444
0.0496,0.0867,1.185,,,,,,,,,0.0705,0.3825,0.0511,0.3859
0.0496,0.0832,1.195,,,,,,,,,0.0339,0.3397,0.0421,0.3423
0.0496,0.08,1.205,,,,,,,,,-0.5676,0.3054,0.081,0.316
0.0496,0.077,1.215,,,,,,,,,-0.5017,0.2846,0.0793,0.2954
0.0496,0.0742,1.225,,,,,,,,,-0.1828,0.2731,0.043,0.2765
0.0496,0.0716,1.235,,,,,,,,,-0.2202,0.2713,0.0445,0.2749
0.0496,0.0691,1.245,,,,,,,,,0.2131,0.2752,0.0399,0.2781
0.0496,0.0668,1.255,,,,,,,,,0.0313,0.2867,0.0354,0.2889
0.0496,0.0646,1.265,,,,,,,,,0.0813,0.3031,0.035,0.3051
0.0496,0.0625,1.275,,,,,,,,,-0.4367,0.3156,0.0705,0.3234
0.0496,0.0606,1.285,,,,,,,,,-0.0132,0.3251,0.0348,0.327
0.0496,0.0587,1.295,,,,,,,,,-0.3144,0.3319,0.062,0.3376
0.0496,0.057,1.305,,,,,,,,,-0.1785,0.3279,0.0438,0.3308
0.0496,0.0553,1.315,,,,,,,,,-0.5992,0.3193,0.0645,0.3257
0.0496,0.0537,1.325,,,,,,,,,0.3621,0.3133,0.053,0.3178
0.0496,0.0522,1.335,,,,,,,,,-0.3152,0.3115,0.0401,0.3141
0.0496,0.0508,1.345,,,,,,,,,0.4493,0.3025,0.036,0.3046
0.0496,0.0494,1.355,,,,,,,,,-0.1693,0.2988,0.0269,0.3
0.0496,0.0481,1.365,,,,,,,,,-0.0557,0.3011,0.0271,0.3023
0.0496,0.0469,1.375,,,,,,,,,-0.6124,0.3001,0.0589,0.3058
0.0496,0.0457,1.385,,,,,,,,,-0.0319,0.2957,0.0205,0.2964
0.0496,0.0445,1.395,,,,,,,,,-0.285,0.2928,0.0288,0.2942
0.0496,0.0434,1.405,,,,,,,,,-0.5422,0.2847,0.0672,0.2925
0.0496,0.0424,1.415,,,,,,,,,0.0675,0.2777,0.018,0.2783
0.0496,0.0414,1.425,,,,,,,,,-0.4619,0.2669,0.0358,0.2693
0.0496,0.0404,1.435,,,,,,,,,0.2511,0.2586,0.025,0.2598
0.0496,0.0395,1.445,,,,,,,,,-0.1567,0.2487,0.0182,0.2494
0.0496,0.0386,1.455,,,,,,,,,-0.2526,0.2382,0.0527,0.244
